artiste_source,artiste_similaire,score
The Strokes,The Voidz,1.0
The Strokes,Julian Casablancas,0.940326
The Strokes,"Albert Hammond, Jr.",0.711122
The Strokes,Arctic Monkeys,0.434663
The Strokes,Benches,0.329276
The Strokes,The Symposium,0.306306
The Strokes,Interpol,0.26989
The Strokes,Cage the Elephant,0.265297
The Strokes,The Last Shadow Puppets,0.250575
The Strokes,Little Joy,0.226804
Tame Impala,Pond,1.0
Tame Impala,Melody's Echo Chamber,0.700642
Tame Impala,GUM,0.665735
Tame Impala,Temples,0.611821
Tame Impala,Moses Gunn Collective,0.427959
Tame Impala,The Holydrug Couple,0.426486
Tame Impala,Unknown Mortal Orchestra,0.422365
Tame Impala,MGMT,0.403438
Tame Impala,Post Animal,0.381352
Tame Impala,Psychedelic Porn Crumpets,0.329288
The Voidz,Julian Casablancas,1.0
The Voidz,The Strokes,0.844501
The Voidz,"Albert Hammond, Jr.",0.65871
The Voidz,Inner Wave,0.130233
The Voidz,Interpol,0.124174
The Voidz,Arctic Monkeys,0.109269
The Voidz,Cage the Elephant,0.103349
The Voidz,Pond,0.102468
The Voidz,Tame Impala,0.096799
The Voidz,Vampire Weekend,0.088094
Joji,88rising,1.0
Joji,Bryant Barnes,0.97789
Joji,Alan Vuong,0.914594
Joji,Frank Ocean,0.632188
Joji,keshi,0.623878
Joji,d4vd,0.617151
Joji,Malcolm Todd,0.595929
Joji,Daniel Caesar,0.549764
Joji,Bruno Mars,0.490475
Joji,Don Toliver,0.474896
Muse,Royal Blood,1.0
Muse,Placebo,0.711328
Muse,Nothing But Thieves,0.681477
Muse,Radiohead,0.641185
Muse,Franz Ferdinand,0.555378
Muse,30 Seconds to Mars,0.486864
Muse,Foo Fighters,0.473307
Muse,Coldplay,0.468346
Muse,Feeder,0.4605
Muse,The Killers,0.454595
Kanye West,¥$,1.0
Kanye West,KIDS SEE GHOSTS,0.911469
Kanye West,JAY-Z & Kanye West,0.667727
Kanye West,The Throne,0.575261
Kanye West,Ty Dolla $ign,0.483096
Kanye West,DONDA,0.426388
Kanye West,Travi$ Scott,0.422067
Kanye West,Kendrick Lamar,0.391677
Kanye West,A$AP Rocky,0.379118
Kanye West,Consequence,0.348858
The Weeknd,Tory Lanez,1.0
The Weeknd,Drake,0.816251
The Weeknd,Black Atlass,0.78327
The Weeknd,PARTYNEXTDOOR,0.734531
The Weeknd,Don Toliver,0.706612
The Weeknd,Majid Jordan,0.66092
The Weeknd,Frank Ocean,0.584346
The Weeknd,Bruno Mars,0.581382
The Weeknd,Brent Faiyaz,0.567766
The Weeknd,Givēon,0.547507
Pierce The Veil,Sleeping With Sirens,1.0
Pierce The Veil,Isles & Glaciers,0.818902
Pierce The Veil,Before Today,0.780479
Pierce The Veil,My Chemical Romance,0.478951
Pierce The Veil,Picture Me Broken,0.470647
Pierce The Veil,Get Scared,0.452762
Pierce The Veil,Chiodos,0.366937
Pierce The Veil,Alesana,0.279313
Pierce The Veil,Hail The Sun,0.269141
Pierce The Veil,Escape The Fate,0.268854
Travis Scott,Don Toliver,1.0
Travis Scott,Metro Boomin,0.910321
Travis Scott,Huncho Jack,0.827793
Travis Scott,JACKBOYS,0.705182
Travis Scott,21 Savage,0.665464
Travis Scott,A$AP Rocky,0.635192
Travis Scott,Playboi Carti,0.62377
Travis Scott,Sheck Wes,0.599405
Travis Scott,Future,0.595947
Travis Scott,Kanye West,0.56611
Fairuz,Majida El Roumi,1.0
Fairuz,Abdel Halim Hafez,0.849123
Fairuz,Ziad Rahbani,0.838264
Fairuz,Julia Boutros,0.823557
Fairuz,Sabah,0.695273
Fairuz,Melhem Barakat,0.660985
Fairuz,Oum Kalthoum,0.651361
Fairuz,Nancy Ajram,0.62253
Fairuz,عمر دياب,0.621176
Fairuz,Georgette Sayegh,0.618255
CASZT,Microgram,1.0
CASZT,Tame Impala,0.638502
CASZT,Moka Moyai,0.571298
CASZT,"Tame Impala, Midnight Juggernauts",0.503648
